2025-01-08 14:11:09,808 | ERROR    | 12564 | 21464 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:11:09,817 | WARNING  | 12564 | 21464 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:11:18,789 | ERROR    | 12564 | 21464 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:11:18,790 | WARNING  | 12564 | 21464 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:11:30,044 | ERROR    | 12564 | 21464 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:11:30,045 | WARNING  | 12564 | 21464 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:11:51,831 | ERROR    | 12564 | 21464 | document_processing.py:205 | _process_image | Processing attempt 1 failed: 429 Resource has been exhausted (e.g. check quota).
2025-01-08 14:11:55,364 | ERROR    | 12564 | 21464 | document_processing.py:205 | _process_image | Processing attempt 2 failed: 429 Resource has been exhausted (e.g. check quota).
2025-01-08 14:27:58,503 | ERROR    | 6372 | 17836 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:27:58,507 | WARNING  | 6372 | 17836 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:28:07,003 | ERROR    | 6372 | 17836 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:28:07,004 | WARNING  | 6372 | 17836 | document_processing.py:201 | _process_image | Invalid result received, retrying...
