2025-01-08 12:58:56,540 | INFO     | 368 | 22196 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 12:58:56,808 | INFO     | 368 | 22196 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 12:58:57,501 | INFO     | 368 | 22196 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 12:58:57,643 | INFO     | 368 | 22196 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 12:58:57,644 | INFO     | 368 | 22196 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 12:58:57,645 | INFO     | 368 | 22196 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 12:58:57,647 | INFO     | 368 | 22196 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 13:29:33,597 | INFO     | 19548 | 84 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 13:29:33,787 | INFO     | 19548 | 84 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 13:29:34,501 | INFO     | 19548 | 84 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 13:29:34,701 | INFO     | 19548 | 84 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 13:29:34,702 | INFO     | 19548 | 84 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 13:29:34,703 | INFO     | 19548 | 84 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 13:29:34,703 | INFO     | 19548 | 84 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 13:31:37,457 | INFO     | 3964 | 14616 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 13:31:37,539 | INFO     | 3964 | 14616 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 13:31:38,232 | INFO     | 3964 | 14616 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 13:31:38,429 | INFO     | 3964 | 14616 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 13:31:38,431 | INFO     | 3964 | 14616 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 13:31:38,433 | INFO     | 3964 | 14616 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 13:31:38,435 | INFO     | 3964 | 14616 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 13:35:43,056 | INFO     | 21472 | 11812 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 13:35:43,237 | INFO     | 21472 | 11812 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 13:35:43,929 | INFO     | 21472 | 11812 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 13:35:44,106 | INFO     | 21472 | 11812 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 13:35:44,107 | INFO     | 21472 | 11812 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 13:35:44,108 | INFO     | 21472 | 11812 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 13:35:44,109 | INFO     | 21472 | 11812 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 13:57:42,910 | INFO     | 20640 | 20644 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 13:57:43,525 | INFO     | 20640 | 20644 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 13:57:45,375 | INFO     | 20640 | 20644 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 13:57:45,710 | INFO     | 20640 | 20644 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 13:57:45,711 | INFO     | 20640 | 20644 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 13:57:45,712 | INFO     | 20640 | 20644 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 13:57:45,716 | INFO     | 20640 | 20644 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 14:01:32,794 | INFO     | 20640 | 20644 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:01:32,964 | INFO     | 20640 | 20644 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:01:34,078 | INFO     | 20640 | 20644 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:01:34,317 | INFO     | 20640 | 20644 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 14:01:34,318 | INFO     | 20640 | 20644 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 14:01:34,319 | INFO     | 20640 | 20644 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 14:01:34,321 | INFO     | 20640 | 20644 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 14:02:56,091 | INFO     | 20640 | 20644 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:02:56,150 | INFO     | 20640 | 20644 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:02:56,757 | INFO     | 20640 | 20644 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:02:56,937 | INFO     | 20640 | 20644 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 14:02:56,937 | INFO     | 20640 | 20644 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 14:02:56,938 | INFO     | 20640 | 20644 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 14:02:56,939 | INFO     | 20640 | 20644 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 14:07:33,674 | INFO     | 20640 | 20644 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:07:33,785 | INFO     | 20640 | 20644 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:07:34,362 | INFO     | 20640 | 20644 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:07:34,558 | INFO     | 20640 | 20644 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
